track_id,artists,album_name,track_name,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,0.676,0.461,-6.746,0.143,0.0322,1.01e-06,0.358,0.715,0.3612453363575103,acoustic
4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,0.42,0.166,-17.235,0.0763,0.924,5.56e-06,0.101,0.267,0.31839735055799356,acoustic
1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,0.438,0.359,-9.734,0.0557,0.21,0.0,0.117,0.12,0.31364331147379315,acoustic
6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,0.266,0.0596,-18.515,0.0363,0.905,7.07e-05,0.132,0.143,0.7467580494058479,acoustic
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,0.618,0.443,-9.681,0.0526,0.469,0.0,0.0829,0.167,0.4928627779695281,acoustic
01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,0.688,0.481,-8.807,0.105,0.289,0.0,0.189,0.666,0.4027455911115494,acoustic
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,0.5805269299672928,acoustic
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,0.6202849958088852,acoustic
0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,0.669,0.5345232812320234,acoustic
7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,56,0.442,0.632,-6.77,0.0295,0.426,0.00419,0.0735,0.196,0.32419095047910196,acoustic
